"","cuid","model","rcp","period","exp_weighted","exp_simple"
"74",303,"CNRM-CM5","rcp45","early",0.181263648180941,0.117357179252295
"75",303,"CNRM-CM5","rcp45","mid",0.204148079336049,0.13843182736704
"76",303,"CNRM-CM5","rcp45","late",0.242039033161873,0.161619232278738
"77",303,"CNRM-CM5","rcp85","hist",0.159249475038949,0.090557087530429
"78",303,"CNRM-CM5","rcp85","early",0.190406840782781,0.126237333634871
"79",303,"CNRM-CM5","rcp85","mid",0.225761475761476,0.150412345903896
"80",303,"CNRM-CM5","rcp85","late",0.3194151601496,0.238431465021626
"81",303,"HadGEM2-ES","rcp45","hist",0.137368195262932,0.0676946197967254
"82",303,"HadGEM2-ES","rcp45","early",0.173395038432632,0.0969544711314676
"83",303,"HadGEM2-ES","rcp45","mid",0.250007902639482,0.159656733681101
"84",303,"HadGEM2-ES","rcp45","late",0.263276018282751,0.193082464856828
"85",303,"HadGEM2-ES","rcp85","hist",0.137469316792625,0.067857623902014
"86",303,"HadGEM2-ES","rcp85","early",0.182727652464495,0.114051592587548
"87",303,"HadGEM2-ES","rcp85","mid",0.250490286204572,0.181400905612314
"88",303,"HadGEM2-ES","rcp85","late",0.406534359783153,0.316545151471305
"89",303,"MPI-ESM-LR","rcp45","hist",0.1379704086471,0.0677488715989642
"90",303,"MPI-ESM-LR","rcp45","early",0.162851304580628,0.0986880082097523
"91",303,"MPI-ESM-LR","rcp45","mid",0.198996687342552,0.121407108839981
"92",303,"MPI-ESM-LR","rcp45","late",0.203989874656402,0.130817965084562
"93",303,"MPI-ESM-LR","rcp85","hist",0.137979601513436,0.0676764360152375
"94",303,"MPI-ESM-LR","rcp85","early",0.173810007644594,0.100246603942887
"95",303,"MPI-ESM-LR","rcp85","mid",0.228670171245359,0.137685929432326
"96",303,"MPI-ESM-LR","rcp85","late",0.30220791135229,0.194218908112828
"97",304,"ACCESS1-0","rcp45","hist",0.17545164550038,0.152130202723921
"98",304,"ACCESS1-0","rcp45","early",0.212771713866193,0.216410395632816
"99",304,"ACCESS1-0","rcp45","mid",0.261798793116276,0.272040163261435
"100",304,"ACCESS1-0","rcp45","late",0.330205507726378,0.337317242304609
"101",304,"ACCESS1-0","rcp85","hist",0.175492435190527,0.152246451963212
"102",304,"ACCESS1-0","rcp85","early",0.221631816504336,0.224213737670922
