"","cuid","species_name","cu_name","cu_name_short","generation_length","incubation_start","incubation_duration_days","fw_rearing_start","fw_rearing_duration_days","ocean_entry_age_yrs","ocean_entry_peak","marine_residence_time_yrs","run_timing_start","run_timing_peak","run_timing_end","spawn_timing_start","spawn_timing_peak","spawn_timing_end"
"1",302,"Chinook","Boundary Bay (Fall 4-1)","Boundary Bay (Fall 4-1)",5,"05-Oct",204,"04-Mar",100,"0+","03-Jun","3+","23-Aug","13-Sep","17-Oct","05-Oct","15-Nov","26-Dec"
"2",303,"Chinook","Lower Fraser River (Fall 4-1)","Low Fraser (Fall 4-1)",4,"12-Oct",197,"04-Mar",102,"0+","31-May","3+","29-Aug","13-Sep","16-Oct","12-Oct","09-Nov","07-Dec"
"3",304,"Chinook","Lower Fraser River (Spring 5-2)","Low Fraser (Spring 5-2)",5,"14-May",348,"04-Mar",479,"1+","25-May","3+","01-Apr","08-Apr","29-May","14-May","21-Jun","30-Jul"
"4",305,"Chinook","Lower Fraser River-Upper Pitt (Summer 5-2)","Low Fraser-Up Pitt (Summer 5-2)",5,"07-Aug",263,"04-Mar",479,"1+","25-May","3+","18-Jun","22-Jul","17-Aug","07-Aug","27-Aug","18-Sep"
"5",306,"Chinook","Lower Fraser River (Summer 5-2)","Low Fraser (Summer 5-2)",5,"27-Aug",243,"04-Mar",479,"1+","25-May","3+","18-Jun","22-Jul","17-Aug","27-Aug","25-Sep","24-Oct"
"6",307,"Chinook","Lower Fraser River-Maria Slough (Summer 4-1)","Low Fraser-Maria Slough (Summer 4-1)",4,"21-Sep",218,"04-Mar",114,"0+","25-May","3+","27-Jul","13-Aug","19-Aug","21-Sep","13-Oct","04-Nov"
"7",308,"Chinook","Fraser Canyon-Nahatlatch (Spring 5-2)","Fraser Canyon-Nahatlatch (Spring 5-2)",5,"08-Sep",266,"19-Apr",433,"1+","25-May","3+","29-Apr","20-Jun","21-Aug","08-Sep","23-Sep","09-Oct"
"8",309,"Chinook","Middle Fraser River-Portage (Fall 5-2)","Mid Fraser-Portage (Fall 5-2)",5,"27-Sep",244,"28-Apr",402,"1+","03-May","3+","23-Aug","13-Sep","17-Oct","27-Sep","14-Oct","02-Nov"
"9",310,"Chinook","Middle Fraser River (Spring 5-2)","Mid Fraser (Spring 5-2)",5,"13-Aug",296,"28-Apr",411,"1+","26-May","3+","30-Apr","20-Jun","14-Aug","13-Aug","27-Aug","11-Sep"
"10",311,"Chinook","Middle Fraser River (Summer 5-2)","Mid Fraser (Summer 5-2)",5,"04-Sep",269,"15-Apr",440,"1+","24-May","3+","19-Jun","22-Jul","16-Aug","04-Sep","18-Sep","02-Oct"
"11",312,"Chinook","Upper Fraser River (Spring 5-2)","Up Fraser (Spring 5-2)",5,"12-Aug",302,"22-Apr",418,"1+","29-May","3+","27-May","19-Jun","16-Jul","12-Aug","24-Aug","06-Sep"
"12",313,"Chinook","South Thompson River (Summer 4-1)","S Thompson (Summer 4-1)",4,"17-Sep",245,"04-Apr",73,"0+","27-May","3+","02-Aug","16-Aug","11-Sep","17-Sep","07-Oct","27-Oct"
"13",314,"Chinook","South Thompson River (Summer 5-2)","S Thompson (Summer 5-2)",5,"30-Aug",262,"04-Apr",424,"1+","16-May","3+","24-May","21-Jun","04-Aug","30-Aug","19-Sep","10-Oct"
"14",315,"Chinook","Shuswap River (Summer 4-1)","Shuswap (Summer 4-1)",4,"10-Sep",252,"04-Apr",45,"0+","05-May","3+","22-Jun","23-Jul","10-Aug","10-Sep","04-Oct","27-Oct"
"15",316,"Chinook","South Thompson River-Bessette Creek (Summer 4-2)","S Thompson-Bessette Cr (Summer 4-2)",4,"09-Sep",253,"04-Apr",424,"1+","16-May","2+","25-Jun","27-Jul","11-Aug","09-Sep","24-Sep","10-Oct"
"16",317,"Chinook","Lower Thompson River (Spring 4-2)","Low Thompson (Spring 4-2)",4,"14-Aug",298,"20-Apr",405,"1+","07-May","2+","12-Apr","14-Jun","30-Jul","14-Aug","01-Sep","20-Sep"
"17",318,"Chinook","North Thompson River (Spring 5-2)","N Thompson (Spring 5-2)",5,"11-Aug",285,"03-Apr",422,"1+","08-May","3+","23-Jun","11-Jul","04-Aug","11-Aug","26-Aug","10-Sep"
"18",319,"Chinook","North Thompson River (Summer 5-2)","N Thompson (Summer 5-2)",5,"04-Sep",276,"30-Apr",395,"1+","08-May","3+","02-Jun","20-Jul","12-Aug","04-Sep","18-Sep","02-Oct"
"19",333,"Chinook","South Thompson-Adams River Upper","S Thompson-Adams Up",5,"07-Sep",256,"03-Apr",425,"1+","16-May","3+","23-Aug","13-Sep","17-Oct","07-Sep","20-Sep","03-Oct"
"20",701,"Chum","Lower Fraser","Low Fraser",4,"19-Oct",217,NA,0,"0+","28-Apr","3+","26-Sep","25-Oct","22-Nov","19-Oct","13-Nov","09-Dec"
"21",704,"Coho","Lillooet","Lillooet",4,"27-Oct",232,"05-May",403,"1+","28-May","1+","08-Sep","27-Sep","14-Oct","27-Oct","17-Nov","09-Dec"
"22",705,"Coho","Fraser Canyon","Fraser Canyon",4,"03-Nov",225,"05-May",403,"1+","28-May","1+","08-Sep","27-Sep","14-Oct","03-Nov","25-Nov","19-Dec"
"23",707,"Coho","Lower Thompson","Low Thompson",4,"26-Oct",247,"10-May",412,"1+","30-May","1+","08-Sep","27-Sep","14-Oct","26-Oct","15-Nov","06-Dec"
"24",708,"Coho","South Thompson","S Thompson",4,"27-Oct",218,"19-Apr",433,"1+","30-May","1+","08-Sep","27-Sep","14-Oct","27-Oct","13-Nov","01-Dec"
"25",709,"Coho","North Thompson","N Thompson",4,"31-Oct",226,"17-Apr",435,"1+","30-May","1+","08-Sep","27-Sep","14-Oct","31-Oct","15-Nov","01-Dec"
"26",749,"Coho","Interior Fraser","Interior Fraser",4,"27-Oct",232,"05-May",403,"1+","27-May","1+","08-Sep","20-Sep","14-Oct","27-Oct","19-Nov","12-Dec"
"27",750,"Coho","Lower Fraser","Low Fraser",4,"28-Oct",206,"29-Mar",441,"1+","23-May","1+","17-Sep","11-Oct","24-Oct","28-Oct","27-Nov","28-Dec"
"28",906,"Coho","Boundary Bay","Boundary Bay",4,"06-Oct",228,"29-Mar",430,"1+","14-May","1+","17-Sep","11-Oct","24-Oct","06-Oct","13-Nov","20-Dec"
"29",710,"Pink","Fraser River (odd)","Fraser (odd)",2,"29-Sep",228,NA,0,"0+","22-Apr","1+","23-Aug","09-Sep","23-Sep","29-Sep","14-Oct","29-Oct"
"30",711,"Sockeye","Chilliwack-Early Summer (cyclic)","Chilliwack-ES (cycl)",4,"14-Aug",291,"21-Apr",383,"1+","25-Apr","2+","01-Jul","03-Aug","26-Aug","14-Aug","28-Aug","12-Sep"
"31",712,"Sockeye","Cultus-Late","Cultus-Late",4,"09-Nov",204,"21-Apr",390,"1+","24-Apr","2+","03-Aug","04-Sep","14-Sep","09-Nov","24-Nov","09-Dec"
"32",713,"Sockeye","Harrison-Downstream Migrating-Late","Harrison-Downstream Mig-Late",4,"04-Sep",270,"21-Apr",393,"1+","01-May","2+","05-Aug","22-Aug","11-Sep","04-Sep","21-Sep","09-Oct"
"33",714,"Sockeye","Harrison-Upstream Migrating-Late","Harrison-Upstream Mig-Late",4,"22-Sep",252,"21-Apr",396,"1+","04-May","2+","03-Aug","21-Aug","14-Sep","22-Sep","22-Oct","22-Nov"
"34",715,"Sockeye","Pitt-Early Summer","Pitt-ES",4,"25-Aug",280,"21-Apr",393,"1+","01-May","2+","13-Jul","03-Aug","26-Aug","25-Aug","11-Sep","28-Sep"
"35",716,"Sockeye","Lillooet-Harrison-Late","Lillooet-Harrison-Late",4,"14-Sep",260,"21-Apr",396,"1+","04-May","2+","05-Aug","22-Aug","11-Sep","14-Sep","02-Oct","20-Oct"
"36",718,"Sockeye","Nahatlatch-Early Summer","Nahatlatch-ES",4,"18-Aug",287,"21-Apr",387,"1+","01-May","2+","13-Jul","03-Aug","26-Aug","18-Aug","07-Sep","28-Sep"
"37",719,"Sockeye","Anderson-Seton-Early Summer","Anderson-Seton-ES",4,"14-Aug",278,"06-Apr",409,"1+","03-May","2+","01-Jul","03-Aug","26-Aug","14-Aug","03-Sep","23-Sep"
"38",720,"Sockeye","Chilko-Early Summer","Chilko-ES",4,"01-Sep",282,"08-May",378,"1+","06-May","2+","13-Jul","03-Aug","26-Aug","01-Sep","15-Sep","30-Sep"
"39",721,"Sockeye","Chilko-Summer","Chilko-Summer",4,"10-Sep",271,"05-May",381,"1+","06-May","2+","27-Jul","13-Aug","03-Sep","10-Sep","25-Sep","10-Oct"
"40",725,"Sockeye","Francois-Fraser-Summer","Francois-Fraser-Summer",4,"14-Sep",259,"23-Apr",389,"1+","04-May","2+","27-Jul","13-Aug","03-Sep","14-Sep","19-Sep","24-Sep"
"41",727,"Sockeye","Nadina-Francois-Early Summer","Nadina-Francois-ES",4,"04-Sep",270,"21-Apr",396,"1+","02-May","2+","13-Jul","03-Aug","26-Aug","04-Sep","19-Sep","04-Oct"
"42",728,"Sockeye","Quesnel-Summer (cyclic)","Quesnel-Summer (cycl)",4,"05-Sep",277,"19-Apr",392,"1+","05-May","2+","31-Jul","17-Aug","07-Sep","05-Sep","17-Sep","29-Sep"
"43",729,"Sockeye","Seton-Late (de novo)","Seton-Late (de novo)",4,"15-Oct",211,"17-Apr",404,"1+","11-May","2+","05-Aug","21-Aug","14-Sep","15-Oct","27-Oct","08-Nov"
"44",731,"Sockeye","Takla-Trembleur-Stuart-Summer (cyclic)","Takla-Trembleur-Stuart-Summer (cycl)",4,"12-Sep",262,"21-Apr",400,"1+","10-May","2+","27-Jul","13-Aug","03-Sep","12-Sep","20-Sep","29-Sep"
"45",732,"Sockeye","Takla-Trembleur-Early Stuart (cyclic)","Takla-Trembleur-Early Stuart (cycl)",4,"30-Jul",305,"16-Apr",402,"1+","08-May","2+","28-Jun","10-Jul","26-Jul","30-Jul","09-Aug","19-Aug"
"46",734,"Sockeye","Taseko-Early Summer","Taseko-ES",4,"09-Aug",296,"21-Apr",396,"1+","07-May","2+","13-Jul","03-Aug","26-Aug","09-Aug","28-Aug","17-Sep"
"47",735,"Sockeye","Bowron-Early Summer","Bowron-ES",4,"17-Aug",288,"21-Apr",396,"1+","07-May","2+","13-Jul","03-Aug","26-Aug","17-Aug","01-Sep","17-Sep"
"48",738,"Sockeye","Shuswap-Early Summer (cyclic)","Shuswap-ES (cycl)",4,"25-Aug",268,"03-Apr",426,"1+","16-May","2+","13-Jul","03-Aug","26-Aug","25-Aug","13-Sep","02-Oct"
