"","cuid","stage","model","rcp","period","p_j","n_j"
"78",302,"fw_rearing","CNRM-CM5","rcp85","early",0.0682432432432432,111
"79",302,"fw_rearing","CNRM-CM5","rcp85","mid",0.0814564564564565,111
"80",302,"fw_rearing","CNRM-CM5","rcp85","late",0.125675675675676,111
"81",302,"fw_rearing","HadGEM2-ES","rcp45","hist",0.0286036036036036,111
"82",302,"fw_rearing","HadGEM2-ES","rcp45","early",0.0497747747747748,111
"83",302,"fw_rearing","HadGEM2-ES","rcp45","mid",0.0934684684684685,111
"84",302,"fw_rearing","HadGEM2-ES","rcp45","late",0.141516516516517,111
"85",302,"fw_rearing","HadGEM2-ES","rcp85","hist",0.0308558558558559,111
"86",302,"fw_rearing","HadGEM2-ES","rcp85","early",0.0677177177177177,111
"87",302,"fw_rearing","HadGEM2-ES","rcp85","mid",0.128153153153153,111
"88",302,"fw_rearing","HadGEM2-ES","rcp85","late",0.191666666666667,111
"89",302,"fw_rearing","MPI-ESM-LR","rcp45","hist",0.0340840840840841,111
"90",302,"fw_rearing","MPI-ESM-LR","rcp45","early",0.0524774774774775,111
"91",302,"fw_rearing","MPI-ESM-LR","rcp45","mid",0.0660660660660661,111
"92",302,"fw_rearing","MPI-ESM-LR","rcp45","late",0.077027027027027,111
"93",302,"fw_rearing","MPI-ESM-LR","rcp85","hist",0.0340840840840841,111
"94",302,"fw_rearing","MPI-ESM-LR","rcp85","early",0.062012012012012,111
"95",302,"fw_rearing","MPI-ESM-LR","rcp85","mid",0.0816066066066066,111
"96",302,"fw_rearing","MPI-ESM-LR","rcp85","late",0.103528528528529,111
"97",302,"early_marine","ACCESS1-0","rcp45","hist",0.3625,184
"98",302,"early_marine","ACCESS1-0","rcp45","early",0.468055555555556,184
"99",302,"early_marine","ACCESS1-0","rcp45","mid",0.615277777777778,184
"100",302,"early_marine","ACCESS1-0","rcp45","late",0.769444444444444,184
"101",302,"early_marine","ACCESS1-0","rcp85","hist",0.3625,184
"102",302,"early_marine","ACCESS1-0","rcp85","early",0.515277777777778,184
"103",302,"early_marine","ACCESS1-0","rcp85","mid",0.709722222222222,184
"104",302,"early_marine","ACCESS1-0","rcp85","late",0.876388888888889,184
"105",302,"early_marine","CanESM2","rcp45","hist",0.2625,184
"106",302,"early_marine","CanESM2","rcp45","early",0.336111111111111,184
"107",302,"early_marine","CanESM2","rcp45","mid",0.402777777777778,184
"108",302,"early_marine","CanESM2","rcp45","late",0.463888888888889,184
"109",302,"early_marine","CanESM2","rcp85","hist",0.2625,184
"110",302,"early_marine","CanESM2","rcp85","early",0.327777777777778,184
"111",302,"early_marine","CanESM2","rcp85","mid",0.430555555555556,184
"112",302,"early_marine","CanESM2","rcp85","late",0.563888888888889,184
"113",302,"early_marine","CCSM4","rcp45","hist",0.319444444444444,184
"114",302,"early_marine","CCSM4","rcp45","early",0.386111111111111,184
"115",302,"early_marine","CCSM4","rcp45","mid",0.391666666666667,184
"116",302,"early_marine","CCSM4","rcp45","late",0.488888888888889,184
"117",302,"early_marine","CCSM4","rcp85","hist",0.319444444444444,184
"118",302,"early_marine","CCSM4","rcp85","early",0.416666666666667,184
"119",302,"early_marine","CCSM4","rcp85","mid",0.475,184
"120",302,"early_marine","CCSM4","rcp85","late",0.594444444444444,184
"121",302,"early_marine","CNRM-CM5","rcp45","hist",0.341666666666667,184
"122",302,"early_marine","CNRM-CM5","rcp45","early",0.388888888888889,184
"123",302,"early_marine","CNRM-CM5","rcp45","mid",0.413888888888889,184
"124",302,"early_marine","CNRM-CM5","rcp45","late",0.497222222222222,184
"125",302,"early_marine","CNRM-CM5","rcp85","hist",0.341666666666667,184
"126",302,"early_marine","CNRM-CM5","rcp85","early",0.391666666666667,184
"127",302,"early_marine","CNRM-CM5","rcp85","mid",0.447222222222222,184
"128",302,"early_marine","CNRM-CM5","rcp85","late",0.594444444444444,184
"129",302,"early_marine","HadGEM2-ES","rcp45","hist",0.244444444444444,184
"130",302,"early_marine","HadGEM2-ES","rcp45","early",0.308333333333333,184
"131",302,"early_marine","HadGEM2-ES","rcp45","mid",0.469444444444444,184
"132",302,"early_marine","HadGEM2-ES","rcp45","late",0.530555555555556,184
"133",302,"early_marine","HadGEM2-ES","rcp85","hist",0.244444444444444,184
"134",302,"early_marine","HadGEM2-ES","rcp85","early",0.336111111111111,184
"135",302,"early_marine","HadGEM2-ES","rcp85","mid",0.516666666666667,184
"136",302,"early_marine","HadGEM2-ES","rcp85","late",0.752777777777778,184
"137",302,"early_marine","MPI-ESM-LR","rcp45","hist",0.255555555555556,184
"138",302,"early_marine","MPI-ESM-LR","rcp45","early",0.305555555555556,184
"139",302,"early_marine","MPI-ESM-LR","rcp45","mid",0.333333333333333,184
"140",302,"early_marine","MPI-ESM-LR","rcp45","late",0.4125,184
"141",302,"early_marine","MPI-ESM-LR","rcp85","hist",0.255555555555556,184
"142",302,"early_marine","MPI-ESM-LR","rcp85","early",0.327777777777778,184
"143",302,"early_marine","MPI-ESM-LR","rcp85","mid",0.3875,184
"144",302,"early_marine","MPI-ESM-LR","rcp85","late",0.541666666666667,184
"145",302,"marine_rearing","ACCESS1-0","rcp45","hist",0.234684684684685,1125
"146",302,"marine_rearing","ACCESS1-0","rcp45","early",0.259009009009009,1125
"147",302,"marine_rearing","ACCESS1-0","rcp45","mid",0.312612612612613,1125
"148",302,"marine_rearing","ACCESS1-0","rcp45","late",0.409266409266409,1125
"149",302,"marine_rearing","ACCESS1-0","rcp85","hist",0.234684684684685,1125
"150",302,"marine_rearing","ACCESS1-0","rcp85","early",0.268468468468468,1125
"151",302,"marine_rearing","ACCESS1-0","rcp85","mid",0.383333333333333,1125
"152",302,"marine_rearing","ACCESS1-0","rcp85","late",0.553088803088803,1125
"153",302,"marine_rearing","CanESM2","rcp45","hist",0.187837837837838,1125
"154",302,"marine_rearing","CanESM2","rcp45","early",0.24009009009009,1125
"155",302,"marine_rearing","CanESM2","rcp45","mid",0.324324324324324,1125
"156",302,"marine_rearing","CanESM2","rcp45","late",0.414092664092664,1125
"157",302,"marine_rearing","CanESM2","rcp85","hist",0.187837837837838,1125
"158",302,"marine_rearing","CanESM2","rcp85","early",0.251351351351351,1125
"159",302,"marine_rearing","CanESM2","rcp85","mid",0.392342342342342,1125
"160",302,"marine_rearing","CanESM2","rcp85","late",0.647200772200772,1125
"161",302,"marine_rearing","CCSM4","rcp45","hist",0.248648648648649,1125
"162",302,"marine_rearing","CCSM4","rcp45","early",0.35,1125
"163",302,"marine_rearing","CCSM4","rcp45","mid",0.401351351351351,1125
"164",302,"marine_rearing","CCSM4","rcp45","late",0.438706563706564,1125
"165",302,"marine_rearing","CCSM4","rcp85","hist",0.248648648648649,1125
