"species","region","culabel","faz","fm_start","fm_peak","fm_end","n_fm","fm_dat_qual","oe_start","oe_peak","oe_end","n_oe","oe_dat_qual","rt_start","rt_peak","rt_end","n_rt","rt_dat_qual","sp_start","sp_peak","sp_end","n_sp","dat_qual","arrival","n_arrival","fm_source_faz","oe_source_faz","oe_age","inc_start","inc_end","rear_start","rear_end","mig_start","mig_end"
"SH","skeena","Kispiox","MSK",215,221,236,0,6,160,171,182,0,6,194,222,259,12,1,140,NA,161,1,4,NA,NA,NA,"MSK","2+",140,236,1,365,194,161
"SH","skeena","Middle Skeena","MSK",215,221,236,0,6,160,171,182,0,6,194,224,258,24,1,127,135,147,2,3,NA,NA,NA,"MSK","2+",127,236,1,365,194,147
"SH","skeena","Morice","MSK",215,221,236,1,4,160,171,182,0,6,189,220,257,12,1,132,147,177,2,4,NA,NA,NA,"MSK","2+",132,236,1,365,189,177
"SH","skeena","Skeena Coastal Summers","LSK",213,230,253,0,6,160,171,182,0,6,186,223,258,24,1,140,NA,163,4,4,NA,NA,"BCD","MSK","2+",140,253,1,365,186,163
"SH","skeena","Skeena Coastal Winters","LSK",213,230,253,0,6,160,171,182,0,6,287,7,140,1,2,82,123,141,0,6,NA,NA,"BCD","MSK","2+",82,253,1,365,287,141
"SH","skeena","Suskwa","MSK",215,221,236,0,6,160,171,182,0,6,198,219,259,12,1,141,151,168,1,4,NA,NA,NA,"MSK","2+",141,236,1,365,198,168
"SH","skeena","Upper Skeena","USK",200,210,224,0,6,114,129,139,0,6,190,219,251,12,1,152,NA,177,0,6,NA,NA,NA,"USK","2+",152,224,1,365,190,177
"SH","skeena","Upper Skeena Headwaters","USK",199.5,210.5,224.5,2,4,114.5,129,139,2,4,190,219,251,0,6,152,NA,177,0,6,NA,NA,NA,"USK","2+",152,224.5,1,365,190,177
"SH","skeena","Upper Sustut","USK",200,210,224,0,6,114,129,139,0,6,191,206,247,12,1,152,NA,177,2,4,NA,NA,NA,"USK","2+",152,224,1,365,191,177
"SH","transboundary","Alsek Summer","Alsek",213,230,253,0,6,132,144,156,0,6,NA,NA,NA,NA,NA,NA,NA,NA,0,6,NA,NA,"BCD","UNR","2+",NA,253,1,365,NA,NA
"SH","transboundary","Stikine Summer","LStk",213,230,253,0,6,132,144,156,0,6,NA,NA,NA,NA,NA,NA,NA,NA,0,6,NA,NA,"BCD","UNR","2+",NA,253,1,365,NA,NA
"SH","transboundary","Stikine Winter","LStk",213,230,253,0,6,132,144,156,0,6,NA,NA,NA,NA,NA,NA,NA,NA,0,6,NA,NA,"BCD","UNR","2+",NA,253,1,365,NA,NA
"SH","transboundary","Taku Summer","Taku",213,230,253,0,6,132,144,156,0,6,NA,NA,NA,NA,NA,NA,NA,NA,0,6,NA,NA,"BCD","UNR","2+",NA,253,1,365,NA,NA
"SH","transboundary","Taku Winter","Taku",213,230,253,0,6,132,144,156,0,6,NA,NA,NA,NA,NA,NA,NA,NA,0,6,NA,NA,"BCD","UNR","2+",NA,253,1,365,NA,NA
"SH","vancouver island and mainland inlets","East Vancouver Island Summer","EVI",213,230,253,0,6,123,132,145,1,4,116,163,203,0,6,130,NA,166,0,6,NA,NA,"BCD","EVI","2+",130,253,1,365,116,166
"SH","vancouver island and mainland inlets","East Vancouver Island Winter","EVI",154,164,170,1,5,114.033333333333,139.1,159.666666666667,50,1,334,54,85,24,4,77,103,143,3,4,NA,NA,NA,"EVI","2+",77,170,1,365,334,143
"SH","vancouver island and mainland inlets","South Coast Summer","SC",213,230,253,0,6,126,144,166,2,3,116,163,203,18,2,130,NA,166,0,6,NA,NA,"BCD","SC","2+",130,253,1,365,116,166
"SH","vancouver island and mainland inlets","South Coast Winter","SC",213,230,253,0,6,113.333333333333,136.666666666667,155.5,9,1,10,70,123,29,2,95,130,164,9,1,NA,NA,"BCD","SC","2+",95,253,1,365,10,164
"SH","vancouver island and mainland inlets","West Vancouver Island Summer","WVI",213,230,253,0,6,93,126,152,0,6,116,163,203,0,6,130,NA,166,0,6,NA,NA,"BCD","WVI","2+",130,253,1,365,116,166
"SH","vancouver island and mainland inlets","West Vancouver Island Winter","WVI",213,230,253,0,6,92.7272727272727,125.909090909091,152.454545454545,42,1,336,30,98,1,4,95,142,169,1,4,NA,NA,"BCD","WVI","2+",95,253,1,365,336,169
